val_loss,val_acc,loss,acc
0.18955334074119518,0.9375736160188457,0.29840140346923505,0.884309685033737
0.1630369323197186,0.9434628975265018,0.17639810381161664,0.9375919928998501
0.18166553258053406,0.941696113074205,0.1556229862368871,0.9449514277303503
0.14067496516433564,0.9546525323910483,0.14105177624000323,0.952016485151488
0.17156635505532314,0.9428739693757362,0.13465547584236318,0.9536355607538389
0.13191225952759508,0.9593639575971732,0.13644573839931304,0.9561377686369162
0.1263994681413063,0.9587750294464076,0.12413758301516913,0.9590815425375331
0.1457698908936149,0.9487632508833922,0.11587530155829298,0.9586399764498087
0.15174737870824842,0.944640753828033,0.11569418101814131,0.9623196938475125
0.1536806570486691,0.9517078916372202,0.10950699971464055,0.9642331468943185
