Time,ECG1,ECG2
2021-08-19 22:15:21.900,-0.47,0.07
2021-08-19 22:15:21.904,-0.475,0.04
2021-08-19 22:15:21.908,-0.455,0.005
2021-08-19 22:15:21.912,-0.47,-0.01
2021-08-19 22:15:21.916,-0.495,-0.015
2021-08-19 22:15:21.920,-0.52,-0.06
2021-08-19 22:15:21.924,-0.51,-0.04
2021-08-19 22:15:21.928,-0.5,-0.035
2021-08-19 22:15:21.932,-0.485,-0.045
2021-08-19 22:15:21.936,-0.44,-0.06
2021-08-19 22:15:21.940,-0.455,-0.08
2021-08-19 22:15:21.944,-0.46,-0.11
2021-08-19 22:15:21.948,-0.44,-0.125
2021-08-19 22:15:21.952,-0.45,-0.12
2021-08-19 22:15:21.956,-0.455,-0.135
2021-08-19 22:15:21.960,-0.42,-0.115
2021-08-19 22:15:21.964,-0.42,-0.115
2021-08-19 22:15:21.968,-0.395,-0.12
2021-08-19 22:15:21.972,-0.38,-0.14
2021-08-19 22:15:21.976,-0.375,-0.125
2021-08-19 22:15:21.980,-0.36,-0.15
2021-08-19 22:15:21.984,-0.335,-0.145
2021-08-19 22:15:21.988,-0.335,-0.15
2021-08-19 22:15:21.992,-0.3,-0.145
2021-08-19 22:15:21.996,-0.29,-0.12
2021-08-19 22:15:22.000,-0.285,-0.14
2021-08-19 22:15:22.004,-0.31,-0.13
2021-08-19 22:15:22.008,-0.29,-0.145
2021-08-19 22:15:22.012,-0.315,-0.125
2021-08-19 22:15:22.016,-0.275,-0.135
2021-08-19 22:15:22.020,-0.25,-0.125
2021-08-19 22:15:22.024,-0.225,-0.11
2021-08-19 22:15:22.028,-0.2,-0.13
2021-08-19 22:15:22.032,-0.22,-0.13
2021-08-19 22:15:22.036,-0.205,-0.14
2021-08-19 22:15:22.040,-0.205,-0.125
2021-08-19 22:15:22.044,-0.16,-0.1
2021-08-19 22:15:22.048,-0.12,-0.12
2021-08-19 22:15:22.052,-0.1,-0.1
2021-08-19 22:15:22.056,-0.065,-0.05
2021-08-19 22:15:22.060,0.0,-0.065
2021-08-19 22:15:22.064,0.095,-0.055
2021-08-19 22:15:22.068,0.155,-0.06
2021-08-19 22:15:22.072,0.23,-0.08
2021-08-19 22:15:22.076,0.285,-0.1
2021-08-19 22:15:22.080,0.33,-0.13
2021-08-19 22:15:22.084,0.36,-0.155
2021-08-19 22:15:22.088,0.345,-0.165
2021-08-19 22:15:22.092,0.3,-0.18
2021-08-19 22:15:22.096,0.295,-0.23
2021-08-19 22:15:22.100,0.455,-0.32
2021-08-19 22:15:22.104,0.73,-0.46
2021-08-19 22:15:22.108,0.98,-0.685
2021-08-19 22:15:22.112,1.055,-0.905
2021-08-19 22:15:22.116,0.81,-1.05
2021-08-19 22:15:22.120,0.385,-1.025
2021-08-19 22:15:22.124,0.03,-0.77
2021-08-19 22:15:22.128,-0.18,-0.465
2021-08-19 22:15:22.132,-0.265,-0.3
2021-08-19 22:15:22.136,-0.33,-0.165
2021-08-19 22:15:22.140,-0.365,-0.075
2021-08-19 22:15:22.144,-0.385,0.005
2021-08-19 22:15:22.148,-0.405,0.025
2021-08-19 22:15:22.152,-0.42,0.055
2021-08-19 22:15:22.156,-0.445,0.025
2021-08-19 22:15:22.160,-0.44,0.005
2021-08-19 22:15:22.164,-0.45,-0.03
2021-08-19 22:15:22.168,-0.435,-0.07
2021-08-19 22:15:22.172,-0.475,-0.08
2021-08-19 22:15:22.176,-0.455,-0.115
2021-08-19 22:15:22.180,-0.46,-0.11
2021-08-19 22:15:22.184,-0.475,-0.1
2021-08-19 22:15:22.188,-0.49,-0.11
2021-08-19 22:15:22.192,-0.505,-0.115
2021-08-19 22:15:22.196,-0.48,-0.115
2021-08-19 22:15:22.200,-0.485,-0.14
2021-08-19 22:15:22.204,-0.475,-0.12
2021-08-19 22:15:22.208,-0.47,-0.115
2021-08-19 22:15:22.212,-0.49,-0.11
2021-08-19 22:15:22.216,-0.485,-0.12
2021-08-19 22:15:22.220,-0.475,-0.08
2021-08-19 22:15:22.224,-0.5,-0.08
2021-08-19 22:15:22.228,-0.485,-0.085
2021-08-19 22:15:22.232,-0.48,-0.07
2021-08-19 22:15:22.236,-0.48,-0.055
2021-08-19 22:15:22.240,-0.465,-0.07
2021-08-19 22:15:22.244,-0.465,-0.05
2021-08-19 22:15:22.248,-0.46,-0.03
2021-08-19 22:15:22.252,-0.45,-0.03
2021-08-19 22:15:22.256,-0.43,-0.02
2021-08-19 22:15:22.260,-0.42,-0.015
2021-08-19 22:15:22.264,-0.405,0.03
2021-08-19 22:15:22.268,-0.4,0.015
2021-08-19 22:15:22.272,-0.41,0.035
2021-08-19 22:15:22.276,-0.405,0.04
2021-08-19 22:15:22.280,-0.405,0.04
2021-08-19 22:15:22.284,-0.39,0.05
2021-08-19 22:15:22.288,-0.41,0.075
2021-08-19 22:15:22.292,-0.435,0.055
2021-08-19 22:15:22.296,-0.46,0.09
2021-08-19 22:15:22.300,-0.5,0.1
2021-08-19 22:15:22.304,-0.525,0.09
2021-08-19 22:15:22.308,-0.53,0.09
2021-08-19 22:15:22.312,-0.535,0.08
2021-08-19 22:15:22.316,-0.56,0.07
2021-08-19 22:15:22.320,-0.535,0.1
2021-08-19 22:15:22.324,-0.505,0.085
2021-08-19 22:15:22.328,-0.51,0.065
2021-08-19 22:15:22.332,-0.5,0.055
2021-08-19 22:15:22.336,-0.49,0.07
2021-08-19 22:15:22.340,-0.5,0.04
2021-08-19 22:15:22.344,-0.445,0.04
2021-08-19 22:15:22.348,-0.435,0.02
2021-08-19 22:15:22.352,-0.415,0.03
2021-08-19 22:15:22.356,-0.415,0.025
2021-08-19 22:15:22.360,-0.4,-0.005
2021-08-19 22:15:22.364,-0.405,0.0
2021-08-19 22:15:22.368,-0.4,-0.01
2021-08-19 22:15:22.372,-0.405,0.0
2021-08-19 22:15:22.376,-0.385,-0.01
2021-08-19 22:15:22.380,-0.37,-0.03
2021-08-19 22:15:22.384,-0.36,-0.03
2021-08-19 22:15:22.388,-0.355,-0.045
2021-08-19 22:15:22.392,-0.335,-0.07
2021-08-19 22:15:22.396,-0.31,-0.08
2021-08-19 22:15:22.400,-0.33,-0.09
2021-08-19 22:15:22.404,-0.32,-0.075
2021-08-19 22:15:22.408,-0.315,-0.1
2021-08-19 22:15:22.412,-0.305,-0.085
2021-08-19 22:15:22.416,-0.31,-0.075
2021-08-19 22:15:22.420,-0.305,-0.08
2021-08-19 22:15:22.424,-0.295,-0.08
2021-08-19 22:15:22.428,-0.265,-0.08
2021-08-19 22:15:22.432,-0.24,-0.06
2021-08-19 22:15:22.436,-0.23,-0.07
2021-08-19 22:15:22.440,-0.22,-0.05
2021-08-19 22:15:22.444,-0.205,-0.06
2021-08-19 22:15:22.448,-0.205,-0.035
2021-08-19 22:15:22.452,-0.185,-0.02
2021-08-19 22:15:22.456,-0.175,-0.01
2021-08-19 22:15:22.460,-0.165,0.0
2021-08-19 22:15:22.464,-0.13,0.0
2021-08-19 22:15:22.468,-0.105,0.01
2021-08-19 22:15:22.472,-0.06,0.005
2021-08-19 22:15:22.476,0.0,0.0
2021-08-19 22:15:22.480,0.075,-0.015
2021-08-19 22:15:22.484,0.14,-0.035
2021-08-19 22:15:22.488,0.205,-0.06
2021-08-19 22:15:22.492,0.225,-0.095
2021-08-19 22:15:22.496,0.23,-0.125
2021-08-19 22:15:22.500,0.235,-0.155
2021-08-19 22:15:22.504,0.205,-0.18
2021-08-19 22:15:22.508,0.255,-0.275
2021-08-19 22:15:22.512,0.445,-0.395
2021-08-19 22:15:22.516,0.745,-0.565
2021-08-19 22:15:22.520,1.01,-0.785
2021-08-19 22:15:22.524,1.075,-1.0
2021-08-19 22:15:22.528,0.855,-1.125
2021-08-19 22:15:22.532,0.375,-1.0
2021-08-19 22:15:22.536,-0.06,-0.66
2021-08-19 22:15:22.540,-0.305,-0.35
2021-08-19 22:15:22.544,-0.405,-0.18
2021-08-19 22:15:22.548,-0.46,-0.055
2021-08-19 22:15:22.552,-0.485,0.03
2021-08-19 22:15:22.556,-0.49,0.09
2021-08-19 22:15:22.560,-0.53,0.1
2021-08-19 22:15:22.564,-0.53,0.11
2021-08-19 22:15:22.568,-0.54,0.13
2021-08-19 22:15:22.572,-0.535,0.11
2021-08-19 22:15:22.576,-0.55,0.1
2021-08-19 22:15:22.580,-0.55,0.1
2021-08-19 22:15:22.584,-0.575,0.11
2021-08-19 22:15:22.588,-0.57,0.08
2021-08-19 22:15:22.592,-0.56,0.085
2021-08-19 22:15:22.596,-0.58,0.065
2021-08-19 22:15:22.600,-0.57,0.075
2021-08-19 22:15:22.604,-0.565,0.07
2021-08-19 22:15:22.608,-0.575,0.035
2021-08-19 22:15:22.612,-0.55,0.005
2021-08-19 22:15:22.616,-0.565,0.03
2021-08-19 22:15:22.620,-0.565,0.01
2021-08-19 22:15:22.624,-0.555,0.015
2021-08-19 22:15:22.628,-0.565,-0.01
2021-08-19 22:15:22.632,-0.575,0.0
2021-08-19 22:15:22.636,-0.555,0.025
2021-08-19 22:15:22.640,-0.57,0.0
2021-08-19 22:15:22.644,-0.585,0.01
2021-08-19 22:15:22.648,-0.58,0.025
2021-08-19 22:15:22.652,-0.57,0.02
2021-08-19 22:15:22.656,-0.56,0.035
2021-08-19 22:15:22.660,-0.575,0.05
2021-08-19 22:15:22.664,-0.575,0.03
2021-08-19 22:15:22.668,-0.57,0.045
2021-08-19 22:15:22.672,-0.57,0.045
2021-08-19 22:15:22.676,-0.585,0.07
2021-08-19 22:15:22.680,-0.565,0.045
2021-08-19 22:15:22.684,-0.575,0.065
2021-08-19 22:15:22.688,-0.59,0.06
2021-08-19 22:15:22.692,-0.57,0.08
2021-08-19 22:15:22.696,-0.555,0.095
2021-08-19 22:15:22.700,-0.53,0.07
2021-08-19 22:15:22.704,-0.545,0.07
2021-08-19 22:15:22.708,-0.48,0.04
2021-08-19 22:15:22.712,-0.47,0.055
2021-08-19 22:15:22.716,-0.435,0.035
2021-08-19 22:15:22.720,-0.415,0.025
2021-08-19 22:15:22.724,-0.38,0.01
2021-08-19 22:15:22.728,-0.38,0.0
2021-08-19 22:15:22.732,-0.36,0.0
2021-08-19 22:15:22.736,-0.35,0.015
2021-08-19 22:15:22.740,-0.34,0.02
2021-08-19 22:15:22.744,-0.345,0.04
2021-08-19 22:15:22.748,-0.355,0.06
2021-08-19 22:15:22.752,-0.36,0.05
2021-08-19 22:15:22.756,-0.39,0.08
2021-08-19 22:15:22.760,-0.385,0.08
2021-08-19 22:15:22.764,-0.425,0.08
2021-08-19 22:15:22.768,-0.4,0.065
2021-08-19 22:15:22.772,-0.41,0.06
2021-08-19 22:15:22.776,-0.41,0.08
2021-08-19 22:15:22.780,-0.39,0.095
2021-08-19 22:15:22.784,-0.375,0.1
2021-08-19 22:15:22.788,-0.39,0.095
2021-08-19 22:15:22.792,-0.38,0.095
2021-08-19 22:15:22.796,-0.38,0.09
2021-08-19 22:15:22.800,-0.385,0.095
2021-08-19 22:15:22.804,-0.37,0.1
2021-08-19 22:15:22.808,-0.365,0.09
2021-08-19 22:15:22.812,-0.36,0.08
2021-08-19 22:15:22.816,-0.345,0.075
2021-08-19 22:15:22.820,-0.36,0.06
2021-08-19 22:15:22.824,-0.355,0.06
2021-08-19 22:15:22.828,-0.385,0.05
2021-08-19 22:15:22.832,-0.38,0.02
2021-08-19 22:15:22.836,-0.365,0.015
2021-08-19 22:15:22.840,-0.37,0.04
2021-08-19 22:15:22.844,-0.37,0.04
2021-08-19 22:15:22.848,-0.35,0.03
2021-08-19 22:15:22.852,-0.345,0.025
2021-08-19 22:15:22.856,-0.365,0.03
2021-08-19 22:15:22.860,-0.335,0.035
2021-08-19 22:15:22.864,-0.345,0.025
2021-08-19 22:15:22.868,-0.345,0.03
2021-08-19 22:15:22.872,-0.34,0.0
2021-08-19 22:15:22.876,-0.33,0.035
2021-08-19 22:15:22.880,-0.33,0.025
2021-08-19 22:15:22.884,-0.32,0.025
2021-08-19 22:15:22.888,-0.325,0.03
2021-08-19 22:15:22.892,-0.315,0.055
2021-08-19 22:15:22.896,-0.32,0.055
2021-08-19 22:15:22.900,-0.295,0.04
2021-08-19 22:15:22.904,-0.315,0.065
2021-08-19 22:15:22.908,-0.315,0.055
2021-08-19 22:15:22.912,-0.29,0.05
2021-08-19 22:15:22.916,-0.29,0.045
2021-08-19 22:15:22.920,-0.305,0.04
2021-08-19 22:15:22.924,-0.31,0.04
2021-08-19 22:15:22.928,-0.305,0.02
2021-08-19 22:15:22.932,-0.275,0.02
2021-08-19 22:15:22.936,-0.285,0.02
2021-08-19 22:15:22.940,-0.275,0.025
2021-08-19 22:15:22.944,-0.245,0.025
2021-08-19 22:15:22.948,-0.23,0.03
2021-08-19 22:15:22.952,-0.205,0.01
2021-08-19 22:15:22.956,-0.195,0.02
2021-08-19 22:15:22.960,-0.22,0.015
2021-08-19 22:15:22.964,-0.19,0.025
2021-08-19 22:15:22.968,-0.185,0.065
2021-08-19 22:15:22.972,-0.13,0.07
2021-08-19 22:15:22.976,-0.075,0.09
2021-08-19 22:15:22.980,0.01,0.08
2021-08-19 22:15:22.984,0.075,0.1
2021-08-19 22:15:22.988,0.16,0.08
2021-08-19 22:15:22.992,0.215,0.045
2021-08-19 22:15:22.996,0.23,0.005
2021-08-19 22:15:23.000,0.235,-0.025
2021-08-19 22:15:23.004,0.21,-0.045
2021-08-19 22:15:23.008,0.185,-0.1
2021-08-19 22:15:23.012,0.225,-0.19
2021-08-19 22:15:23.016,0.4,-0.345
2021-08-19 22:15:23.020,0.67,-0.53
2021-08-19 22:15:23.024,0.965,-0.755
2021-08-19 22:15:23.028,1.11,-0.995
2021-08-19 22:15:23.032,0.95,-1.135
2021-08-19 22:15:23.036,0.515,-1.055
2021-08-19 22:15:23.040,0.025,-0.755
2021-08-19 22:15:23.044,-0.27,-0.4
2021-08-19 22:15:23.048,-0.4,-0.155
2021-08-19 22:15:23.052,-0.445,-0.045
2021-08-19 22:15:23.056,-0.455,0.055
2021-08-19 22:15:23.060,-0.465,0.095
2021-08-19 22:15:23.064,-0.475,0.14
2021-08-19 22:15:23.068,-0.47,0.16
2021-08-19 22:15:23.072,-0.48,0.155
2021-08-19 22:15:23.076,-0.505,0.145
2021-08-19 22:15:23.080,-0.49,0.145
2021-08-19 22:15:23.084,-0.49,0.135
2021-08-19 22:15:23.088,-0.48,0.13
2021-08-19 22:15:23.092,-0.46,0.125
2021-08-19 22:15:23.096,-0.45,0.12
2021-08-19 22:15:23.100,-0.445,0.13
2021-08-19 22:15:23.104,-0.445,0.13
2021-08-19 22:15:23.108,-0.445,0.125
2021-08-19 22:15:23.112,-0.43,0.12
2021-08-19 22:15:23.116,-0.435,0.13
2021-08-19 22:15:23.120,-0.44,0.13
2021-08-19 22:15:23.124,-0.44,0.135
2021-08-19 22:15:23.128,-0.425,0.14
2021-08-19 22:15:23.132,-0.425,0.13
2021-08-19 22:15:23.136,-0.445,0.13
2021-08-19 22:15:23.140,-0.45,0.125
2021-08-19 22:15:23.144,-0.42,0.14
2021-08-19 22:15:23.148,-0.445,0.13
2021-08-19 22:15:23.152,-0.435,0.135
2021-08-19 22:15:23.156,-0.425,0.14
2021-08-19 22:15:23.160,-0.395,0.135
2021-08-19 22:15:23.164,-0.38,0.15
2021-08-19 22:15:23.168,-0.38,0.135
2021-08-19 22:15:23.172,-0.37,0.15
2021-08-19 22:15:23.176,-0.375,0.155
2021-08-19 22:15:23.180,-0.385,0.175
2021-08-19 22:15:23.184,-0.385,0.2
2021-08-19 22:15:23.188,-0.37,0.23
2021-08-19 22:15:23.192,-0.36,0.245
2021-08-19 22:15:23.196,-0.39,0.24
2021-08-19 22:15:23.200,-0.38,0.245
2021-08-19 22:15:23.204,-0.405,0.26
2021-08-19 22:15:23.208,-0.405,0.26
2021-08-19 22:15:23.212,-0.4,0.25
2021-08-19 22:15:23.216,-0.415,0.245
2021-08-19 22:15:23.220,-0.44,0.235
2021-08-19 22:15:23.224,-0.46,0.23
2021-08-19 22:15:23.228,-0.475,0.27
2021-08-19 22:15:23.232,-0.455,0.26
2021-08-19 22:15:23.236,-0.45,0.25
2021-08-19 22:15:23.240,-0.435,0.255
2021-08-19 22:15:23.244,-0.435,0.25
2021-08-19 22:15:23.248,-0.425,0.23
2021-08-19 22:15:23.252,-0.415,0.235
2021-08-19 22:15:23.256,-0.41,0.19
2021-08-19 22:15:23.260,-0.4,0.16
2021-08-19 22:15:23.264,-0.38,0.14
2021-08-19 22:15:23.268,-0.385,0.13
2021-08-19 22:15:23.272,-0.375,0.095
2021-08-19 22:15:23.276,-0.36,0.06
2021-08-19 22:15:23.280,-0.355,0.055
